gravity = -0.350000, wind = -0.050000
i = 145, p_x= 239.887482, p_y = 8.712499, p_z = 23.000000, v_x= -0.025000, v_y = 0.775000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 146, p_x= 239.862488, p_y = 9.487498, p_z = 23.000000, v_x= -0.027500, v_y = 0.757500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 147, p_x= 239.834991, p_y = 10.244998, p_z = 23.000000, v_x= -0.030000, v_y = 0.740000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 148, p_x= 239.804993, p_y = 10.984998, p_z = 23.000000, v_x= -0.032500, v_y = 0.722500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 149, p_x= 239.772491, p_y = 11.707498, p_z = 23.000000, v_x= -0.035000, v_y = 0.705000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 150, p_x= 239.737488, p_y = 12.412498, p_z = 23.000000, v_x= -0.037500, v_y = 0.687500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 151, p_x= 239.699982, p_y = 13.099998, p_z = 23.000000, v_x= -0.040000, v_y = 0.670000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 152, p_x= 239.659988, p_y = 13.769998, p_z = 23.000000, v_x= -0.042500, v_y = 0.652500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 153, p_x= 239.617493, p_y = 14.422497, p_z = 23.000000, v_x= -0.045000, v_y = 0.635000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

